figure,source,metric,n,mean,std,ci95,params,subgroup,train_size,sharing_type,depth,L,p,circuit_family,source_family
fig01,results_reproduction.csv,test_accuracy,5,0.6883333333333334,0.041079191812887446,0.03600749921891271,54.0,D4,,,,,,,
fig01,results_reproduction.csv,test_accuracy,5,0.6136666666666667,0.03300673331980075,0.02893167737196646,204.0,none,,,,,,,
fig01,results_reproduction.csv,generalization_gap,5,0.0232222222222222,0.016374287280691548,0.0143526956215527,54.0,D4,,,,,,,
fig01,results_reproduction.csv,generalization_gap,5,0.09388888888888886,0.018181186857726128,0.015936512932396556,204.0,none,,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5523333333333333,0.05742869975504893,0.05033847479259226,60.0,C4,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5716666666666667,0.046308146631499354,0.040590880201783704,60.0,C4,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6296666666666667,0.05076361339034528,0.044496269007137615,60.0,C4,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.632,0.05830237273616455,0.05110428292553702,60.0,C4,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.689,0.019097702014174912,0.016739873887750077,60.0,C4,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5503333333333333,0.03426611543006688,0.03003557446318171,78.0,D2_V4,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5656666666666667,0.03571880923733789,0.0313089167277737,78.0,D2_V4,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.586,0.03575767205944917,0.0313429814932927,78.0,D2_V4,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6183333333333334,0.04644291597697589,0.04070901074154904,78.0,D2_V4,240.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6656666666666666,0.007870479302078391,0.006898779280101337,78.0,D2_V4,450.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.5306666666666666,0.054779862480051296,0.04801666655096611,54.0,D4,30.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.583,0.049880412543959106,0.0437221093320581,54.0,D4,60.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6293333333333333,0.047691135910611755,0.041803123753561225,54.0,D4,120.0,,,,,,
fig02,results_partial_data_sweep_full_L3p2.csv,test_accuracy,5,0.6446666666666666,0.03321646178227501,0.029115512474738744,54.0,D4,240.0,,,,,,
