subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.258503039393297,2.567771690893668,0.5833333333333334,0.43434343434343436,0.148989898989899,204,1,symmetry,23.076602374901995,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.183195726692039,2.534113761207164,0.5916666666666667,0.5050505050505051,0.08661616161616159,204,1,symmetry,24.5561774589587,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.2781260059578328,2.543030767357438,0.5416666666666666,0.5,0.04166666666666663,204,1,symmetry,25.56523779197596,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433)"
none,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.200886355769961,2.524033227412141,0.6083333333333333,0.4494949494949495,0.15883838383838378,204,1,symmetry,24.74955708300695,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391)"
none,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.2,2.145199820700945,2.464766779186151,0.6,0.47474747474747475,0.12525252525252523,204,1,symmetry,25.397546124993823,True,True,0,disjoint,0.2,0.2,153,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433, 669, 605, 93, 381, 751, 575, 105, 482, 633, 447, 303, 505, 477, 63, 712, 472, 480, 103, 538, 12, 246, 98, 360, 443, 5, 8, 389, 274, 707, 539, 615, 478, 212, 764, 401, 683, 572, 495, 391, 745, 450, 304, 330, 358, 398, 422, 356, 718, 388, 594, 739, 508, 292, 68, 530, 519, 412, 512, 752, 522, 548, 58, 440, 165, 64, 667, 163, 109, 41, 754, 543, 648, 101, 586, 638, 120, 375)"
none,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.2,2.1705306808651637,2.5857329627089167,0.5666666666666667,0.41919191919191917,0.14747474747474748,204,1,symmetry,24.91924554097932,True,True,0,disjoint,0.2,0.2,153,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391, 507, 309, 745, 196, 153, 208, 171, 593, 233, 754, 527, 154, 240, 149, 140, 669, 556, 16, 427, 612, 751, 543, 69, 9, 198, 496, 242, 445, 167, 262, 674, 470, 23, 4, 568, 410, 647, 288, 508, 522, 575, 547, 189, 101, 618, 464, 138, 735, 436, 265, 694, 17, 441, 76, 572, 25, 182, 665, 24, 183, 1, 700, 223, 668, 457, 585, 654, 225, 686, 500, 719, 569, 51, 123, 230, 304, 450)"
C4,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.3337318198285337,2.49459576181136,0.525,0.4696969696969697,0.0553030303030303,60,4,symmetry,23.333988790982403,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.106695243748531,2.3236418160819117,0.6416666666666667,0.5252525252525253,0.11641414141414141,60,4,symmetry,23.325570167042315,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.3994158659770166,2.5910755887320747,0.525,0.48484848484848486,0.04015151515151516,60,4,symmetry,23.961262459051795,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433)"
C4,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.3025798568163376,2.3777553512030014,0.6166666666666667,0.5505050505050505,0.0661616161616162,60,4,symmetry,23.087871750001796,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391)"
C4,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.2,2.1725647466674216,2.4704796672460856,0.625,0.5151515151515151,0.10984848484848486,60,4,symmetry,23.257061417098157,True,True,0,disjoint,0.2,0.2,153,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433, 669, 605, 93, 381, 751, 575, 105, 482, 633, 447, 303, 505, 477, 63, 712, 472, 480, 103, 538, 12, 246, 98, 360, 443, 5, 8, 389, 274, 707, 539, 615, 478, 212, 764, 401, 683, 572, 495, 391, 745, 450, 304, 330, 358, 398, 422, 356, 718, 388, 594, 739, 508, 292, 68, 530, 519, 412, 512, 752, 522, 548, 58, 440, 165, 64, 667, 163, 109, 41, 754, 543, 648, 101, 586, 638, 120, 375)"
C4,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.2,2.2037923026632558,2.5479939746162636,0.6333333333333333,0.45454545454545453,0.17878787878787877,60,4,symmetry,23.742476416984573,True,True,0,disjoint,0.2,0.2,153,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391, 507, 309, 745, 196, 153, 208, 171, 593, 233, 754, 527, 154, 240, 149, 140, 669, 556, 16, 427, 612, 751, 543, 69, 9, 198, 496, 242, 445, 167, 262, 674, 470, 23, 4, 568, 410, 647, 288, 508, 522, 575, 547, 189, 101, 618, 464, 138, 735, 436, 265, 694, 17, 441, 76, 572, 25, 182, 665, 24, 183, 1, 700, 223, 668, 457, 585, 654, 225, 686, 500, 719, 569, 51, 123, 230, 304, 450)"
D4,3,2,0,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.3399453052964967,2.510918790097283,0.55,0.4797979797979798,0.07020202020202027,54,8,symmetry,23.447446291917004,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,120,198,15,12,8,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.1506213917102612,2.4141701553568726,0.6916666666666667,0.5151515151515151,0.1765151515151515,54,8,symmetry,23.38099495798815,True,True,0,disjoint,0.0,0.0,0,none,()
