subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.1795450970514114,2.261280648488942,0.6133333333333333,0.6016666666666667,0.011666666666666603,204,1,symmetry,119.10960116703063,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,3,2,1,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.17504694328032,2.3361480514081667,0.6222222222222222,0.565,0.057222222222222285,204,1,symmetry,122.49213266698644,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,3,2,2,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.181860977418582,2.2924517478540904,0.6222222222222222,0.5716666666666667,0.050555555555555576,204,1,symmetry,115.54597895790357,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,3,2,3,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.186263327809349,2.2983564237007466,0.6022222222222222,0.52,0.0822222222222222,204,1,symmetry,122.87883008399513,True,False,103,independent_fallback,0.0,0.0,0,none,()
none,3,2,4,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,2.1664328178165317,2.2884668886672657,0.6377777777777778,0.5616666666666666,0.07611111111111113,204,1,symmetry,121.72713287500665,True,False,91,independent_fallback,0.0,0.0,0,none,()
none,3,2,0,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.2041354893632654,2.3093308176650886,0.6155555555555555,0.545,0.07055555555555548,204,1,symmetry,115.92309141601436,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(164, 426, 126, 94, 23, 89, 2, 264, 290, 746, 245, 664, 566, 117, 344, 321, 757, 329, 74, 759, 335, 735, 273, 371, 578, 614, 698, 682, 36, 407, 696, 53, 668, 112, 26, 69, 195, 49, 489, 208, 486, 411, 473, 355, 618, 162, 690, 100, 437, 223, 142, 13, 153, 81, 45, 620, 555, 46, 481, 449, 209, 716, 161, 19, 25, 221, 524, 56, 715, 474, 168, 350, 84, 278, 28, 433)"
none,3,2,1,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.1684032799887674,2.378509270385235,0.6577777777777778,0.535,0.12277777777777776,204,1,symmetry,109.69498145801481,True,False,87,independent_fallback,0.1,0.09934640522875816,76,swap_circle_cross,"(264, 454, 90, 536, 128, 662, 468, 303, 163, 49, 760, 520, 624, 374, 186, 229, 407, 71, 31, 692, 199, 548, 650, 463, 185, 424, 236, 152, 676, 10, 420, 615, 383, 377, 335, 555, 761, 220, 534, 166, 48, 552, 434, 535, 105, 115, 619, 261, 151, 630, 169, 675, 557, 638, 737, 550, 723, 599, 330, 740, 235, 228, 103, 631, 73, 573, 44, 89, 685, 412, 77, 633, 406, 156, 519, 391)"
none,3,2,2,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.154535276273118,2.2637488904731993,0.6555555555555556,0.5766666666666667,0.0788888888888889,204,1,symmetry,118.56304979196284,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(499, 525, 23, 134, 392, 153, 673, 537, 449, 7, 45, 463, 642, 523, 4, 507, 612, 261, 411, 163, 250, 422, 226, 617, 761, 665, 55, 500, 295, 716, 312, 418, 141, 222, 310, 396, 503, 96, 54, 154, 188, 74, 387, 149, 570, 263, 568, 78, 609, 300, 77, 253, 311, 391, 393, 0, 264, 285, 436, 490, 142, 557, 38, 484, 72, 597, 342, 217, 90, 161, 145, 442, 80, 410, 123, 644)"
none,3,2,3,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.0821703497248354,2.240536211478558,0.6377777777777778,0.56,0.07777777777777772,204,1,symmetry,113.90070724999532,True,False,87,independent_fallback,0.1,0.09934640522875816,76,swap_circle_cross,"(561, 376, 738, 559, 231, 712, 234, 431, 657, 196, 496, 63, 423, 616, 227, 522, 676, 81, 414, 387, 689, 225, 375, 161, 166, 403, 343, 324, 228, 753, 624, 133, 335, 483, 564, 207, 132, 674, 660, 732, 545, 426, 612, 762, 562, 40, 536, 670, 237, 223, 701, 365, 370, 620, 151, 428, 268, 193, 655, 425, 168, 754, 693, 266, 435, 281, 11, 715, 213, 534, 169, 6, 584, 599, 558, 418)"
none,3,2,4,450,600,15,40,12,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.1,2.0825164101606846,2.314942983703495,0.6444444444444445,0.5366666666666666,0.10777777777777786,204,1,symmetry,117.80922291602474,True,True,0,disjoint,0.1,0.09934640522875816,76,swap_circle_cross,"(84, 335, 189, 260, 409, 302, 656, 634, 391, 598, 136, 269, 674, 89, 172, 485, 397, 245, 520, 273, 121, 756, 274, 323, 74, 254, 438, 259, 152, 279, 511, 231, 126, 208, 748, 112, 20, 388, 128, 328, 722, 624, 727, 30, 592, 540, 327, 731, 278, 465, 719, 587, 351, 131, 517, 589, 539, 253, 85, 37, 414, 365, 318, 675, 10, 640, 440, 345, 657, 492, 230, 3, 387, 34, 713, 250)"
