subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
D4,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4334122417309583,2.1420474871484156,0.8,0.5983333333333334,0.20166666666666666,54,8,symmetry,561.4693292910233,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3916732448949043,2.5772755200689774,0.9,0.4866666666666667,0.41333333333333333,54,8,symmetry,552.8114367499948,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5349254591384391,2.3265360070704992,0.8666666666666667,0.5533333333333333,0.31333333333333335,54,8,symmetry,552.1236079579685,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4129616658218942,2.2951562492562596,0.8,0.5516666666666666,0.2483333333333334,54,8,symmetry,552.1476473750081,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3735694440021347,2.46525620677339,0.8666666666666667,0.4633333333333333,0.4033333333333334,54,8,symmetry,552.1838792910567,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7038665422666668,1.9090185764553371,0.8083333333333333,0.7066666666666667,0.10166666666666668,54,8,symmetry,553.5714891670505,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7526047610746318,2.126121083990151,0.7416666666666667,0.6166666666666667,0.125,54,8,symmetry,553.0743248329964,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7173743563786228,2.1427948044815492,0.7166666666666667,0.59,0.1266666666666667,54,8,symmetry,552.6401994159678,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.714499905137727,2.129240213234832,0.725,0.5933333333333334,0.1316666666666666,54,8,symmetry,552.8199894169811,True,True,0,disjoint,0.0,0.0,0,none,()
D4,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8448103161508675,2.1453695858489303,0.7666666666666667,0.64,0.1266666666666667,54,8,symmetry,553.3982393329497,True,True,0,disjoint,0.0,0.0,0,none,()
