subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7796779195884596,2.8470209608956876,0.5066666666666667,0.49666666666666665,0.010000000000000064,34,1,symmetry,16.12449804204516,True,False,97,independent_fallback
none,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.821114672738709,2.834558305410225,0.48444444444444446,0.48,0.004444444444444473,34,1,symmetry,16.077297208015807,True,False,92,independent_fallback
none,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4084088316919714,2.449455922139263,0.5244444444444445,0.5183333333333333,0.006111111111111178,68,1,symmetry,27.951782917021774,True,False,97,independent_fallback
none,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.365769713994628,2.42699265037301,0.5866666666666667,0.5316666666666666,0.05500000000000005,68,1,symmetry,28.18936462502461,True,False,92,independent_fallback
none,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3884739219852698,2.458296920547745,0.5266666666666666,0.48833333333333334,0.038333333333333275,102,1,symmetry,43.57849708397407,True,False,97,independent_fallback
none,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.348322797447538,2.3893400438188945,0.5577777777777778,0.5416666666666666,0.016111111111111187,102,1,symmetry,43.340436000027694,True,False,92,independent_fallback
Z2_reflection,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.717210039874221,2.7930632355257567,0.5111111111111111,0.5066666666666667,0.004444444444444362,21,2,symmetry,16.393288334016688,True,False,97,independent_fallback
Z2_reflection,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.8024911782564654,2.7837875761170205,0.4688888888888889,0.495,-0.026111111111111085,21,2,symmetry,17.05158945801668,True,False,92,independent_fallback
Z2_reflection,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4049232928712017,2.4493216035539844,0.5333333333333333,0.5366666666666666,-0.0033333333333332993,42,2,symmetry,29.218890167074278,True,False,97,independent_fallback
Z2_reflection,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3746723096921416,2.398033679596818,0.5822222222222222,0.58,0.0022222222222222365,42,2,symmetry,31.336314791929908,True,False,92,independent_fallback
Z2_reflection,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.392925176797483,2.427045286102096,0.5177777777777778,0.5133333333333333,0.004444444444444473,63,2,symmetry,42.944561499985866,True,False,97,independent_fallback
Z2_reflection,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.324353074378777,2.3364896759574805,0.56,0.565,-0.004999999999999893,63,2,symmetry,42.198136874940246,True,False,92,independent_fallback
C4,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.713229643600759,2.789184515626853,0.5244444444444445,0.5066666666666667,0.01777777777777778,10,4,symmetry,17.038396624964662,True,False,97,independent_fallback
C4,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7469295967125293,2.7579042094144763,0.5533333333333333,0.5433333333333333,0.010000000000000009,10,4,symmetry,16.609668959048577,True,False,92,independent_fallback
C4,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.367492786999469,2.4324893447731015,0.5511111111111111,0.535,0.016111111111111076,20,4,symmetry,28.86569991603028,True,False,97,independent_fallback
C4,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3902025020590822,2.3979994469219856,0.5711111111111111,0.5633333333333334,0.007777777777777772,20,4,symmetry,28.629080833052285,True,False,92,independent_fallback
C4,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3700404740981367,2.3732102600654383,0.5511111111111111,0.5633333333333334,-0.012222222222222245,30,4,symmetry,41.28864283300936,True,False,97,independent_fallback
C4,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.330248592979988,2.3108709803527243,0.5511111111111111,0.5616666666666666,-0.01055555555555554,30,4,symmetry,41.536519833956845,True,False,92,independent_fallback
D4,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7218424056674895,2.801042716499917,0.5333333333333333,0.5266666666666666,0.00666666666666671,9,8,symmetry,16.41885983303655,True,False,97,independent_fallback
D4,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7829595836930285,2.742834346181742,0.5333333333333333,0.5466666666666666,-0.013333333333333308,9,8,symmetry,16.451671999995597,True,False,92,independent_fallback
D4,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3706153889572574,2.4147679919240335,0.5488888888888889,0.5383333333333333,0.01055555555555554,18,8,symmetry,29.074250041972846,True,False,97,independent_fallback
D4,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3598173006804264,2.3715819187054796,0.58,0.5533333333333333,0.026666666666666616,18,8,symmetry,28.978091291966848,True,False,92,independent_fallback
D4,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.401615494020257,2.4303787285233103,0.5422222222222223,0.525,0.01722222222222225,27,8,symmetry,41.3245580419898,True,False,97,independent_fallback
D4,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3378466694907396,2.354915689091842,0.5777777777777777,0.5816666666666667,-0.0038888888888889417,27,8,symmetry,42.11749354202766,True,False,92,independent_fallback
