subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,1,1,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.6421579820576486,2.763326616776851,0.5355555555555556,0.51,0.025555555555555554,34,1,symmetry,54.16402679204475,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,1,1,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.647306903206365,2.725586473022429,0.5622222222222222,0.5383333333333333,0.02388888888888885,34,1,symmetry,54.301960874930955,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,1,1,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.6360644009952496,2.783557958645163,0.5288888888888889,0.48,0.04888888888888887,34,1,symmetry,55.331901040975936,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,1,2,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.5704373731642245,2.7132808716956047,0.5377777777777778,0.52,0.01777777777777778,68,1,symmetry,93.50274508295115,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,1,2,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.586963782628219,2.7183774109523298,0.5977777777777777,0.5416666666666666,0.05611111111111111,68,1,symmetry,90.72852883394808,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,1,2,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.5583056564393645,2.7407286517726295,0.5711111111111111,0.5033333333333333,0.06777777777777783,68,1,symmetry,89.49595670797862,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,1,3,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.5124089105661405,2.6890229931856364,0.5755555555555556,0.5316666666666666,0.04388888888888898,102,1,symmetry,126.82636470894795,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,1,3,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.5228097560727494,2.6529606457328936,0.6155555555555555,0.56,0.05555555555555547,102,1,symmetry,152.96207308396697,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,1,3,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.507608833857899,2.7570777162560094,0.6066666666666667,0.495,0.11166666666666669,102,1,symmetry,163.60579445795156,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,2,1,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.297706753620788,2.407150376258494,0.5577777777777778,0.53,0.02777777777777779,68,1,symmetry,114.65452999994159,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,2,1,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.29437334324557,2.39065743457214,0.58,0.5383333333333333,0.04166666666666663,68,1,symmetry,113.24939358304255,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,2,1,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.3013142348507274,2.422872904788912,0.56,0.5,0.06000000000000005,68,1,symmetry,113.68099483300466,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,2,2,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.182390859056857,2.301516101201956,0.6422222222222222,0.5866666666666667,0.05555555555555558,136,1,symmetry,202.90288183302619,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,2,2,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.155764339532066,2.2535242448124024,0.6577777777777778,0.5916666666666667,0.06611111111111112,136,1,symmetry,201.76055833301507,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,2,2,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.163875919530839,2.2751675257180453,0.5933333333333334,0.5383333333333333,0.05500000000000005,136,1,symmetry,201.25384716701228,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,2,3,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.107030214455046,2.2749793636554654,0.6733333333333333,0.595,0.07833333333333337,204,1,symmetry,289.76029687502887,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,2,3,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.10292795090081,2.1943349834412196,0.66,0.6033333333333334,0.05666666666666664,204,1,symmetry,288.865546374931,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,2,3,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0936909325244386,2.2266588543068426,0.6533333333333333,0.5766666666666667,0.07666666666666666,204,1,symmetry,288.04809158295393,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,3,1,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.1555751274552577,2.321909500245466,0.6355555555555555,0.5433333333333333,0.0922222222222222,102,1,symmetry,159.63498654100113,True,False,97,independent_fallback,0.0,0.0,0,none,()
