subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7796779195884596,2.8470209608956876,0.5066666666666667,0.49666666666666665,0.010000000000000064,34,1,symmetry,17.210409000050277,True,False,97,independent_fallback
none,1,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.821114672738709,2.834558305410225,0.48444444444444446,0.48,0.004444444444444473,34,1,symmetry,16.457345000002533,True,False,92,independent_fallback
none,1,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.678580340034659,2.752238903613795,0.5244444444444445,0.53,-0.005555555555555536,68,1,symmetry,27.0537048750557,True,False,97,independent_fallback
none,1,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.7026782669114477,2.7841068607422854,0.5466666666666666,0.5133333333333333,0.033333333333333326,68,1,symmetry,27.187738624983467,True,False,92,independent_fallback
none,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4084088316919714,2.449455922139263,0.5244444444444445,0.5183333333333333,0.006111111111111178,68,1,symmetry,28.259653290966526,True,False,97,independent_fallback
none,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.365769713994628,2.42699265037301,0.5866666666666667,0.5316666666666666,0.05500000000000005,68,1,symmetry,26.601725375046954,True,False,92,independent_fallback
none,2,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3428585972064746,2.425354307292527,0.5422222222222223,0.515,0.02722222222222226,136,1,symmetry,47.42763704096433,True,False,97,independent_fallback
none,2,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2932125395648684,2.3621719948551436,0.6111111111111112,0.56,0.05111111111111111,136,1,symmetry,47.602181874914095,True,False,92,independent_fallback
none,3,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3884739219852698,2.458296920547745,0.5266666666666666,0.48833333333333334,0.038333333333333275,102,1,symmetry,42.48281375004444,True,False,97,independent_fallback
none,3,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.348322797447538,2.3893400438188945,0.5577777777777778,0.5416666666666666,0.016111111111111187,102,1,symmetry,40.079651374951936,True,False,92,independent_fallback
