subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,30,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,0.9051215128663126,2.553075973137821,0.9666666666666667,0.4683333333333333,0.49833333333333335,204,1,symmetry,234.21667379094288,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,30,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,0.9321395338678478,2.6867319120321382,1.0,0.43833333333333335,0.5616666666666666,204,1,symmetry,235.9850534579018,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,30,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,0.9715156081596402,2.6910771870372656,0.9666666666666667,0.425,0.5416666666666667,204,1,symmetry,236.29435866698623,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,120,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.6591599705307445,2.3663799343853658,0.85,0.5716666666666667,0.2783333333333333,204,1,symmetry,236.63593929202762,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,1,120,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.581643579469554,2.4511133134110636,0.8333333333333334,0.49666666666666665,0.3366666666666667,204,1,symmetry,236.47494020790327,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,2,120,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.5479308952101207,2.4808175784668243,0.8416666666666667,0.475,0.3666666666666667,204,1,symmetry,236.35387491702568,True,True,0,disjoint,0.0,0.0,0,none,()
none,3,2,0,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0193336542332654,2.2110271768005614,0.6888888888888889,0.6133333333333333,0.0755555555555556,204,1,symmetry,239.53179866704158,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,3,2,1,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0428428402163514,2.229342731446904,0.6733333333333333,0.6,0.07333333333333336,204,1,symmetry,239.5002398750512,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,3,2,2,450,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0650594734788172,2.261416985089174,0.6688888888888889,0.5566666666666666,0.11222222222222222,204,1,symmetry,240.3549954999471,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,0,30,600,15,60,20,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.4377166481513186,2.461499687048844,0.9333333333333333,0.505,0.42833333333333334,108,2,symmetry,227.62958983401768,True,True,0,disjoint,0.0,0.0,0,none,()
