subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,0,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.2664746609711208,3.1445018063389556,1.0,0.30666666666666664,0.6933333333333334,60,4,symmetry,539.4724591670092,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.02893152819120932,3.5030097154215785,1.0,0.4583333333333333,0.5416666666666667,60,4,symmetry,758.7963858749717,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.15391310824331111,2.7938826779098984,1.0,0.4766666666666667,0.5233333333333333,60,4,symmetry,777.8761050000321,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.04596749243976592,2.649011341538205,1.0,0.49666666666666665,0.5033333333333334,60,4,symmetry,744.8431294580223,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,3,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.08018032710845006,3.2424021940020262,1.0,0.35833333333333334,0.6416666666666666,60,4,symmetry,664.986712041893,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.3149102773749076,3.11094104588078,1.0,0.45166666666666666,0.5483333333333333,60,4,symmetry,666.9841786669567,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8112697539277782,2.6369966166589993,1.0,0.4666666666666667,0.5333333333333333,60,4,symmetry,624.3348257079488,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.5716055981802185,2.785090071748697,1.0,0.5133333333333333,0.4866666666666667,60,4,symmetry,546.6401227499591,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,3,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.21407742071411104,3.28731937418259,1.0,0.41333333333333333,0.5866666666666667,60,4,symmetry,543.9886557079153,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,4,6,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.41150041646095703,2.871784485611432,1.0,0.4533333333333333,0.5466666666666666,60,4,symmetry,544.2895027920604,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,0,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.6054746634194461,2.5529444341947127,1.0,0.53,0.47,60,4,symmetry,543.9389509579632,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,1,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9011115199760038,2.8080128800246453,1.0,0.4533333333333333,0.5466666666666666,60,4,symmetry,544.3037153750192,True,True,0,disjoint,0.0,0.0,0,none,()
C4,3,2,2,9,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8184242561359948,2.9267100674479383,1.0,0.415,0.585,60,4,symmetry,544.0687774579274,True,True,0,disjoint,0.0,0.0,0,none,()
