subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9262309384463865,1.979412458564606,0.7533333333333333,0.715,0.0383333333333333,60,4,symmetry,551.2483175829984,True,False,97,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.02489227469271,2.0593219276889427,0.6511111111111111,0.665,-0.0138888888888889,60,4,symmetry,545.5215234160423,True,False,92,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9743614286297744,2.0065972897538575,0.7111111111111111,0.6816666666666666,0.0294444444444444,60,4,symmetry,543.8971953330329,True,False,96,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9989674346293032,2.010921798973722,0.6755555555555556,0.7,-0.0244444444444443,60,4,symmetry,543.9653880409896,True,False,103,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9993838048656556,2.047939057135436,0.6933333333333334,0.6833333333333333,0.01,60,4,symmetry,549.067220750032,True,False,91,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.030716660774684,2.0632253137651193,0.7133333333333334,0.6933333333333334,0.02,60,4,symmetry,552.0637957500294,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.02083264458018,2.0123368578083416,0.6766666666666666,0.68,-0.0033333333333334,60,4,symmetry,551.6286033750512,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9702578430490485,1.978966388719735,0.735,0.7033333333333334,0.0316666666666666,60,4,symmetry,552.2389150829986,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.985352345091309,2.065031196891548,0.67,0.6433333333333333,0.0266666666666667,60,4,symmetry,552.2475071250228,True,False,131,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0055620271047223,2.0331116442737693,0.6766666666666666,0.6683333333333333,0.0083333333333333,60,4,symmetry,552.0542513330001,True,False,124,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,750,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.003729330134053,2.0777694550134025,0.7266666666666667,0.7133333333333334,0.0133333333333333,60,4,symmetry,553.4480403329944,True,False,160,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,750,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.012227202575955,2.0824179666070033,0.6653333333333333,0.6383333333333333,0.027,60,4,symmetry,553.7368200419005,True,False,155,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,750,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9774387220629948,1.9983004103102016,0.7213333333333334,0.7116666666666667,0.0096666666666667,60,4,symmetry,553.3490366250044,True,False,160,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,750,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9735650901031567,2.0149114323728017,0.7053333333333334,0.69,0.0153333333333334,60,4,symmetry,554.0260792920599,True,False,159,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,750,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.000149466104088,2.0351633051293145,0.76,0.7383333333333333,0.0216666666666667,60,4,symmetry,553.9883816658985,True,False,155,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.891160020204361,1.9375290430588097,0.7533333333333333,0.7233333333333334,0.0299999999999999,54,8,symmetry,548.0938995829783,True,False,97,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0006226209682874,2.009821955219577,0.7022222222222222,0.7033333333333334,-0.0011111111111111,54,8,symmetry,547.3157525410643,True,False,92,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0099442685408926,2.016693070000612,0.6977777777777778,0.655,0.0427777777777778,54,8,symmetry,547.5734248330118,True,False,96,independent_fallback,0.0,0.0,0,none,()
D4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.943998712056897,1.9815636989466825,0.6622222222222223,0.635,0.0272222222222222,54,8,symmetry,547.2706482079811,True,False,103,independent_fallback,0.0,0.0,0,none,()
D4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9131541097714553,1.9806935736326232,0.7422222222222222,0.725,0.0172222222222222,54,8,symmetry,547.502115417039,True,False,91,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9598370070967568,1.989434791405258,0.7183333333333334,0.725,-0.0066666666666665,54,8,symmetry,549.155559290899,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.991973377847177,2.002863492092142,0.69,0.705,-0.015,54,8,symmetry,548.8622241249541,True,False,122,independent_fallback,0.0,0.0,0,none,()
