subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.030716660774684,2.0632253137651193,0.7133333333333334,0.6933333333333334,0.02,60,4,symmetry,552.0637957500294,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.02083264458018,2.0123368578083416,0.6766666666666666,0.68,-0.0033333333333334,60,4,symmetry,551.6286033750512,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9702578430490485,1.978966388719735,0.735,0.7033333333333334,0.0316666666666666,60,4,symmetry,552.2389150829986,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.985352345091309,2.065031196891548,0.67,0.6433333333333333,0.0266666666666667,60,4,symmetry,552.2475071250228,True,False,131,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0055620271047223,2.0331116442737693,0.6766666666666666,0.6683333333333333,0.0083333333333333,60,4,symmetry,552.0542513330001,True,False,124,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9598370070967568,1.989434791405258,0.7183333333333334,0.725,-0.0066666666666665,54,8,symmetry,549.155559290899,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.991973377847177,2.002863492092142,0.69,0.705,-0.015,54,8,symmetry,548.8622241249541,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0236367333250413,2.013319961206173,0.66,0.6483333333333333,0.0116666666666667,54,8,symmetry,548.3340018750168,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9345056604094293,2.0083665332076,0.74,0.7,0.04,54,8,symmetry,549.5143329160055,True,False,131,independent_fallback,0.0,0.0,0,none,()
D4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9561156326300837,1.9777779359643477,0.7166666666666667,0.7183333333333334,-0.0016666666666667,54,8,symmetry,549.0858743750723,True,False,124,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.1204679568767824,2.129560299902016,0.7133333333333334,0.6966666666666667,0.0166666666666667,54,4,symmetry,369.77841300005093,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.193121334912685,2.2374645331526817,0.6316666666666667,0.6033333333333334,0.0283333333333333,54,4,symmetry,365.7996932920069,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.1201924123874907,2.1078335074291763,0.7116666666666667,0.7416666666666667,-0.03,54,4,symmetry,363.3181610830361,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.0859038689653584,2.106616531162513,0.7416666666666667,0.735,0.0066666666666667,54,4,symmetry,363.4910089999903,True,False,131,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.055666177239587,2.12538458603221,0.7433333333333333,0.725,0.0183333333333333,54,4,symmetry,363.7032626670552,True,False,124,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.1204679568767824,2.129560299902016,0.7133333333333334,0.6966666666666667,0.0166666666666667,54,8,symmetry,362.7921583750285,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.193121334912685,2.2374645331526817,0.6316666666666667,0.6033333333333334,0.0283333333333333,54,8,symmetry,363.3524909589906,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.1201924123874907,2.1078335074291763,0.7116666666666667,0.7416666666666667,-0.03,54,8,symmetry,363.29381245793775,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.0859038689653584,2.106616531162513,0.7416666666666667,0.735,0.0066666666666667,54,8,symmetry,363.3291396659333,True,False,131,independent_fallback,0.0,0.0,0,none,()
D4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,line_zzz,0.1,True,0.0,D4,2.055666177239587,2.12538458603221,0.7433333333333333,0.725,0.0183333333333333,54,8,symmetry,363.2843234159518,True,False,124,independent_fallback,0.0,0.0,0,none,()
