subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices,circuit_family
none,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7605799528724831,2.5630579264567803,1.0,0.47,0.53,204,1,symmetry,602.6587346669985,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8625144546298121,2.7702411959253017,1.0,0.4183333333333333,0.5816666666666667,204,1,symmetry,597.5977183340583,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8705934248243863,2.6741141570604348,0.9666666666666668,0.4383333333333333,0.5283333333333333,204,1,symmetry,601.4264399170643,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.765239200559931,2.85938136693046,0.9666666666666668,0.3883333333333333,0.5783333333333334,204,1,symmetry,595.7330224160105,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7549146227751727,2.666994366109496,1.0,0.5016666666666667,0.4983333333333333,204,1,symmetry,604.0272042090073,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3624135088507008,2.4761772716658648,0.9666666666666668,0.4966666666666666,0.47,204,1,symmetry,599.5525910409633,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.211938919790572,2.5459664270027536,0.9666666666666668,0.51,0.4566666666666666,204,1,symmetry,632.168242292013,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2157365205004722,2.59370257086095,0.95,0.48,0.47,204,1,symmetry,612.6115219169296,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.222202942264634,2.6667322894411316,0.9833333333333332,0.475,0.5083333333333333,204,1,symmetry,595.6495381250279,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2338812088294793,2.4920009995657164,0.9666666666666668,0.5066666666666667,0.4599999999999999,204,1,symmetry,576.3308015409857,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.556203618636765,2.369663183713886,0.875,0.555,0.3199999999999999,204,1,symmetry,588.663790749968,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.505075968139947,2.4115107125496267,0.8833333333333333,0.53,0.3533333333333333,204,1,symmetry,596.2090366249904,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4737271668648024,2.5089934010122152,0.8666666666666667,0.495,0.3716666666666667,204,1,symmetry,611.6434837080305,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4764136101435157,2.4486503411998837,0.8666666666666667,0.5183333333333333,0.3483333333333334,204,1,symmetry,617.4047950420063,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.515519744640584,2.5028002226560138,0.85,0.525,0.3249999999999999,204,1,symmetry,610.303040958941,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.842901105356862,2.2798668848267916,0.7583333333333333,0.5633333333333334,0.1949999999999999,204,1,symmetry,601.2952277079457,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7703258072796306,2.307202477363704,0.7833333333333333,0.53,0.2533333333333333,204,1,symmetry,599.0228202090366,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7399889998289102,2.375365547209781,0.7875,0.5016666666666667,0.2858333333333333,204,1,symmetry,579.270389375044,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7803516045304426,2.2800107826314835,0.7375,0.5616666666666666,0.1758333333333334,204,1,symmetry,573.0479899579659,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7873378636203665,2.318086897886422,0.7791666666666667,0.5583333333333333,0.2208333333333333,204,1,symmetry,573.2190782079706,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.932508321230781,2.147147206305844,0.7577777777777778,0.66,0.0977777777777777,204,1,symmetry,575.0120839170413,True,False,97,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.973950510477299,2.184914645066943,0.7222222222222222,0.6216666666666667,0.1005555555555555,204,1,symmetry,574.3872697919142,True,False,92,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9424822389421024,2.192011268446307,0.7022222222222222,0.5833333333333334,0.1188888888888888,204,1,symmetry,574.9410011250293,True,False,96,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.915061746447396,2.1084006828718818,0.6977777777777778,0.6233333333333333,0.0744444444444445,204,1,symmetry,576.076758665964,True,False,103,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.970816595934868,2.166514151530415,0.6577777777777778,0.58,0.0777777777777778,204,1,symmetry,574.0371896669967,True,False,91,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.221052566492475,2.337520530063696,0.9666666666666668,0.5416666666666666,0.425,108,2,symmetry,549.4176188330166,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1405686225270264,2.7029075763414765,0.9333333333333332,0.4133333333333333,0.52,108,2,symmetry,550.6802887090016,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3370341099301737,2.547260874705374,0.9,0.495,0.405,108,2,symmetry,549.8726541659562,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.17185716581887,2.5343850163765396,0.9333333333333332,0.5083333333333333,0.425,108,2,symmetry,549.6842660829425,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.141217261823782,2.427074787734802,0.8666666666666667,0.5183333333333333,0.3483333333333334,108,2,symmetry,550.4960700829979,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5546886839754694,2.462489221530961,0.8,0.4766666666666667,0.3233333333333333,108,2,symmetry,549.4204130000435,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4467009426882556,2.482214482544579,0.9,0.545,0.355,108,2,symmetry,549.638624208048,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4388393263604071,2.373884139057898,0.8833333333333333,0.5733333333333334,0.3099999999999999,108,2,symmetry,550.1436068750918,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6680248540663554,2.437765346020169,0.8,0.5166666666666667,0.2833333333333333,108,2,symmetry,550.1150437919423,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.455044946930027,2.3247756504082497,0.9333333333333332,0.5233333333333333,0.41,108,2,symmetry,549.0119178749155,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7442756072005057,2.2365028309211152,0.775,0.565,0.21,108,2,symmetry,550.2011458330089,True,True,0,disjoint,0.0,0.0,0,none,(),edge
