subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.881073569821964,1.923539688038042,0.7666666666666667,0.7416666666666667,0.025,96,4,symmetry,1354.2920097501485,True,False,97,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.816090904944783,1.8725274604138835,0.7755555555555556,0.7516666666666667,0.0238888888888888,96,4,symmetry,1344.1892239579463,True,False,92,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.8665837360765307,1.8571677120139172,0.7733333333333333,0.775,-0.0016666666666667,96,4,symmetry,1345.4647504170423,True,False,96,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.817354786949815,1.874208304133895,0.7755555555555556,0.7666666666666667,0.0088888888888888,96,4,symmetry,1343.1853068750352,True,False,103,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.81150011097836,1.8794510403211175,0.76,0.695,0.065,96,4,symmetry,1345.6605835841035,True,False,91,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7869503746529434,1.8521087675223664,0.8316666666666667,0.7883333333333333,0.0433333333333333,96,4,symmetry,1346.7104139169678,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7990252340876718,1.8383102651436811,0.8233333333333334,0.7933333333333333,0.03,96,4,symmetry,1351.9859302500265,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7732444772096396,1.7786367089247994,0.8,0.7783333333333333,0.0216666666666667,96,4,symmetry,1347.0096808751114,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,3,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7783645771228196,1.865762496605181,0.8016666666666666,0.7733333333333333,0.0283333333333333,96,4,symmetry,1351.1150992910843,True,False,131,independent_fallback,0.0,0.0,0,none,()
C4,3,2,4,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.8647265443696477,1.8927696597211496,0.77,0.7566666666666667,0.0133333333333333,96,4,symmetry,1347.5172645000275,True,False,124,independent_fallback,0.0,0.0,0,none,()
