subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9964418050352235,2.126607952673767,0.695,0.6333333333333333,0.0616666666666666,204,1,symmetry,856.1497898749076,True,False,128,independent_fallback,0.0,0.0,0,none,()
none,3,2,5,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0389574520145004,2.166080872150823,0.685,0.6366666666666667,0.0483333333333333,204,1,symmetry,836.1158558749594,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9352918058654465,2.0553682068979207,0.7033333333333334,0.6816666666666666,0.0216666666666667,126,2,symmetry,805.833694958128,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,5,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0348272898177524,2.121438731795306,0.6816666666666666,0.625,0.0566666666666666,126,2,symmetry,808.9178634169511,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,0,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.13717475692914,2.270024186137668,0.6383333333333333,0.5733333333333334,0.0649999999999999,126,2,random,824.5042837499641,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,5,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0951647266624747,2.194720542989665,0.6716666666666666,0.6166666666666667,0.0549999999999999,126,2,random,820.5667733750306,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0322139477771106,2.1025289163957077,0.6866666666666666,0.6566666666666666,0.03,108,2,symmetry,816.9465219997801,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,5,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.975721071994465,2.039316185096073,0.71,0.695,0.015,108,2,symmetry,822.337869875133,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,0,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.1368592899703285,2.283330657914021,0.645,0.5616666666666666,0.0833333333333333,108,2,random,835.5402928749099,True,False,128,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,5,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.1559450377901563,2.25565096066961,0.6033333333333334,0.5716666666666667,0.0316666666666667,108,2,random,820.4927948336117,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.030716660774684,2.0632253137651193,0.7133333333333334,0.6933333333333334,0.02,60,4,symmetry,814.3760870830156,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,5,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9352226314477283,1.9578697223230768,0.7216666666666667,0.73,-0.0083333333333333,60,4,symmetry,807.4190743751824,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.217184563376975,2.331261735412481,0.6,0.55,0.0499999999999999,60,4,random,818.7174938749522,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,5,600,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.23126743519549,2.3346652748797623,0.5816666666666667,0.55,0.0316666666666666,60,4,random,809.7260200828314,True,False,128,independent_fallback,0.0,0.0,0,none,()
