subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.030716660774684,2.0632253137651193,0.7133333333333334,0.6933333333333334,0.02,60,4,symmetry,552.0637957500294,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.02083264458018,2.0123368578083416,0.6766666666666666,0.68,-0.0033333333333334,60,4,symmetry,551.6286033750512,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9702578430490485,1.978966388719735,0.735,0.7033333333333334,0.0316666666666666,60,4,symmetry,552.2389150829986,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9598370070967568,1.989434791405258,0.7183333333333334,0.725,-0.0066666666666665,54,8,symmetry,549.155559290899,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.991973377847177,2.002863492092142,0.69,0.705,-0.015,54,8,symmetry,548.8622241249541,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.0236367333250413,2.013319961206173,0.66,0.6483333333333333,0.0116666666666667,54,8,symmetry,548.3340018750168,True,False,133,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7869503746529434,1.8521087675223664,0.8316666666666667,0.7883333333333333,0.0433333333333333,96,4,symmetry,1346.7104139169678,True,False,128,independent_fallback,0.0,0.0,0,none,()
C4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7990252340876718,1.8383102651436811,0.8233333333333334,0.7933333333333333,0.03,96,4,symmetry,1351.9859302500265,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7732444772096396,1.7786367089247994,0.8,0.7783333333333333,0.0216666666666667,96,4,symmetry,1347.0096808751114,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.853650006838061,1.879914758438525,0.7883333333333333,0.7933333333333333,-0.005,90,8,symmetry,1350.1915341671556,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.8142866184824713,1.8056218199767764,0.7866666666666666,0.785,0.0016666666666665,90,8,symmetry,1347.7056695411447,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7174744820141885,1.7033674287161056,0.8383333333333334,0.84,-0.0016666666666665,90,8,symmetry,1352.0918968340848,True,False,133,independent_fallback,0.0,0.0,0,none,()
none,3,2,0,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9964418050352235,2.126607952673767,0.695,0.6333333333333333,0.0616666666666666,204,1,symmetry,1086.8958737920038,True,False,128,independent_fallback,0.0,0.0,0,none,()
none,3,2,2,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9434108823998535,2.0832629870660866,0.7266666666666667,0.665,0.0616666666666666,204,1,symmetry,1848.6608969997617,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9044604648963672,1.9202118485545137,0.765,0.76,0.005,54,8,symmetry,2049.56166966632,True,False,122,independent_fallback,0.0,0.0,0,none,()
D4,3,2,0,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.7525706473445497,1.7950467054470698,0.8416666666666667,0.8166666666666667,0.025,90,8,symmetry,6624.367465374991,True,False,128,independent_fallback,0.0,0.0,0,none,()
none,3,2,1,600,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,2.002061282480037,2.157233805466338,0.67,0.63,0.04,204,1,symmetry,1084.088804082945,True,False,122,independent_fallback,0.0,0.0,0,none,()
C4,3,2,0,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9897181005152544,2.002889518839241,0.685,0.69,-0.0049999999999998,60,4,symmetry,1703.4872364997864,True,False,128,independent_fallback,0.0,0.0,0,none,()
D4,3,2,2,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,True,0.0,D4,1.9750592008707,1.95731888729549,0.6666666666666666,0.6283333333333333,0.0383333333333333,54,8,symmetry,2031.7555077918803,True,False,133,independent_fallback,0.0,0.0,0,none,()
D4,3,2,1,600,600,15,200,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge_line_zzz_ccrz,0.1,True,0.0,D4,1.748475550549911,1.7620360135531723,0.8083333333333333,0.8116666666666666,-0.0033333333333332,90,8,symmetry,6675.67276687501,True,False,122,independent_fallback,0.0,0.0,0,none,()
