subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.256806907947997,2.3253881922919044,0.5733333333333334,0.555,0.018333333333333313,204,1,symmetry,75.1364022080088,True,False,97,independent_fallback
none,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.251740935943405,2.3852178598791083,0.5888888888888889,0.5383333333333333,0.050555555555555576,204,1,symmetry,76.9473050829256,True,False,92,independent_fallback
none,3,2,2,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2352604478206612,2.3182068564218183,0.6066666666666667,0.5433333333333333,0.06333333333333335,204,1,symmetry,78.65351712494157,True,False,96,independent_fallback
none,3,2,3,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.271027219123153,2.340258311276054,0.5711111111111111,0.56,0.011111111111111072,204,1,symmetry,76.36229295795783,True,False,103,independent_fallback
none,3,2,4,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2257331540427385,2.2959712030144828,0.5822222222222222,0.5516666666666666,0.030555555555555558,204,1,symmetry,76.25356558407657,True,False,91,independent_fallback
Z2_rot180,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3001070118793288,2.3570973080515545,0.6044444444444445,0.5833333333333334,0.02111111111111108,108,2,symmetry,73.17056779097766,True,False,97,independent_fallback
Z2_rot180,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2455303314834723,2.233691276862358,0.5844444444444444,0.5933333333333334,-0.008888888888888946,108,2,symmetry,72.80374837503769,True,False,92,independent_fallback
Z2_rot180,3,2,2,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2892062864051614,2.3576472251462137,0.5777777777777777,0.5183333333333333,0.05944444444444441,108,2,symmetry,73.57765737501904,True,False,96,independent_fallback
Z2_rot180,3,2,3,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.286464846307641,2.3112160186667015,0.5644444444444444,0.5233333333333333,0.0411111111111111,108,2,symmetry,74.07912408397533,True,False,103,independent_fallback
Z2_rot180,3,2,4,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.21868885737943,2.3435855838371404,0.6111111111111112,0.55,0.061111111111111116,108,2,symmetry,68.71946308296174,True,False,91,independent_fallback
