subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,3,2,0,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.3511812340583584,2.4893053506933502,0.8666666666666667,0.49,0.3766666666666667,204,1,symmetry,69.86010262498166,True,True,0,disjoint
none,3,2,1,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.239904466112902,2.6552213763386114,1.0,0.4533333333333333,0.5466666666666666,204,1,symmetry,72.44664683297742,True,True,0,disjoint
none,3,2,2,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.2864005426898337,2.6944209424946126,0.9666666666666667,0.40166666666666667,0.565,204,1,symmetry,67.67266758298501,True,True,0,disjoint
none,3,2,3,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.3278917175842007,2.701215068004444,0.9333333333333333,0.43166666666666664,0.5016666666666667,204,1,symmetry,71.40860929200426,True,True,0,disjoint
none,3,2,4,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.2877260643105577,2.6928514159017696,0.9666666666666667,0.435,0.5316666666666667,204,1,symmetry,67.63740291702561,True,True,0,disjoint
none,3,2,0,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9719658067000883,2.478435135783446,0.7,0.48,0.21999999999999997,204,1,symmetry,63.59477245796006,True,True,0,disjoint
none,3,2,1,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9309413799056894,2.502033623288111,0.7,0.49666666666666665,0.2033333333333333,204,1,symmetry,63.65733800001908,True,True,0,disjoint
none,3,2,2,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.8664596662366961,2.4779481603183107,0.725,0.4816666666666667,0.2433333333333333,204,1,symmetry,63.80562324996572,True,True,0,disjoint
none,3,2,3,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9085799956826963,2.455513097958168,0.7666666666666667,0.505,0.2616666666666667,204,1,symmetry,63.696596916997805,True,True,0,disjoint
none,3,2,4,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.8856704976690493,2.5537922391394066,0.75,0.4633333333333333,0.2866666666666667,204,1,symmetry,63.60219762509223,True,True,0,disjoint
none,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.256806907947997,2.3253881922919044,0.5733333333333334,0.555,0.018333333333333313,204,1,symmetry,66.62733679101802,True,False,97,independent_fallback
none,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.251740935943405,2.3852178598791083,0.5888888888888889,0.5383333333333333,0.050555555555555576,204,1,symmetry,68.41898774995934,True,False,92,independent_fallback
none,3,2,2,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2352604478206612,2.3182068564218183,0.6066666666666667,0.5433333333333333,0.06333333333333335,204,1,symmetry,67.03798104205634,True,False,96,independent_fallback
none,3,2,3,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.271027219123153,2.340258311276054,0.5711111111111111,0.56,0.011111111111111072,204,1,symmetry,66.78759020904545,True,False,103,independent_fallback
none,3,2,4,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2257331540427385,2.2959712030144828,0.5822222222222222,0.5516666666666666,0.030555555555555558,204,1,symmetry,67.06186116696335,True,False,91,independent_fallback
Z2_rot180,3,2,0,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.7392682513166784,2.511442746255449,0.8666666666666667,0.49166666666666664,0.37500000000000006,108,2,symmetry,60.280531083000824,True,True,0,disjoint
Z2_rot180,3,2,1,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.5569083589495554,2.788654374522636,0.8666666666666667,0.44666666666666666,0.42000000000000004,108,2,symmetry,61.347533959080465,True,True,0,disjoint
Z2_rot180,3,2,2,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.8004334820772068,2.547077386851867,0.8666666666666667,0.505,0.3616666666666667,108,2,symmetry,60.78401220799424,True,True,0,disjoint
Z2_rot180,3,2,3,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.6742418955844183,2.6204922977102068,0.7333333333333333,0.4533333333333333,0.27999999999999997,108,2,symmetry,60.74123391602188,True,True,0,disjoint
