subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9113375730128856,3.1719264743297884,0.36666666666666664,0.3933333333333333,-0.026666666666666672,25,1,symmetry,2.62257604196202,True,True,0,disjoint
none,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.535618816077012,3.2961647578000073,0.5666666666666667,0.4166666666666667,0.14999999999999997,25,1,symmetry,2.5929036249872297,True,True,0,disjoint
none,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.8518665327130197,3.10863836810139,0.43333333333333335,0.4166666666666667,0.016666666666666663,25,1,symmetry,2.50600208400283,True,True,0,disjoint
none,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0605519243228456,3.218117936385254,0.43333333333333335,0.3466666666666667,0.08666666666666667,25,1,symmetry,2.761210959055461,True,True,0,disjoint
none,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.019494185168183,3.243350425133176,0.5333333333333333,0.45666666666666667,0.07666666666666666,25,1,symmetry,2.7906381669454277,True,True,0,disjoint
none,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9702794775336647,3.2146417571945367,0.44166666666666665,0.37,0.07166666666666666,25,1,symmetry,2.7404263749485835,True,True,0,disjoint
none,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.1565218034432836,3.0669240851570763,0.33111111111111113,0.37333333333333335,-0.04222222222222222,25,1,symmetry,3.398141084006056,True,True,0,disjoint
none,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.157685289688468,3.197457479094764,0.41333333333333333,0.36,0.053333333333333344,25,1,symmetry,3.4445106660714373,True,True,0,disjoint
none,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.103536092264153,3.169782806463229,0.3933333333333333,0.36,0.033333333333333326,25,1,symmetry,3.3328356250422075,True,True,0,disjoint
Z2_rot180,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9492379063909246,3.1521824402742413,0.3333333333333333,0.41,-0.07666666666666666,13,2,symmetry,2.4954164170194417,True,True,0,disjoint
Z2_rot180,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.573494334169047,3.3329752083394246,0.5333333333333333,0.4066666666666667,0.12666666666666665,13,2,symmetry,2.424175582942553,True,True,0,disjoint
Z2_rot180,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.8849649093369822,3.055913615760641,0.5,0.45666666666666667,0.043333333333333335,13,2,symmetry,2.563005041098222,True,True,0,disjoint
Z2_rot180,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.090934056778274,3.2208919354638,0.43333333333333335,0.38,0.053333333333333344,13,2,symmetry,2.581359958043322,True,True,0,disjoint
Z2_rot180,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9896022199816543,3.1663641096163495,0.5,0.46,0.03999999999999998,13,2,symmetry,2.6540677919983864,True,True,0,disjoint
Z2_rot180,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.936305943941832,3.148265540251961,0.525,0.43666666666666665,0.08833333333333337,13,2,symmetry,2.603732250048779,True,True,0,disjoint
Z2_rot180,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.136168755759817,3.0411621140795457,0.36444444444444446,0.41,-0.045555555555555516,13,2,symmetry,3.3091079590376467,True,True,0,disjoint
Z2_rot180,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.1099569869541948,3.1586845398162176,0.42,0.36,0.06,13,2,symmetry,3.2834420839790255,True,True,0,disjoint
Z2_rot180,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0551433755212116,3.125760784776014,0.4,0.36666666666666664,0.03333333333333338,13,2,symmetry,3.2312505419831723,True,True,0,disjoint
Z2_reflection,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.8937924511119104,3.117312679241651,0.4,0.39,0.010000000000000009,15,2,symmetry,2.5231596250087023,True,True,0,disjoint
Z2_reflection,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.5700857543216733,3.318820000555757,0.5333333333333333,0.4033333333333333,0.13,15,2,symmetry,2.43048237496987,True,True,0,disjoint
Z2_reflection,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.857032004117348,3.07636161792403,0.4666666666666667,0.4633333333333333,0.003333333333333355,15,2,symmetry,2.4957779579563066,True,True,0,disjoint
Z2_reflection,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.015104838129964,3.171498802605448,0.4,0.3466666666666667,0.053333333333333344,15,2,symmetry,2.6089632080402225,True,True,0,disjoint
Z2_reflection,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.023444501746986,3.1980710357520765,0.5,0.43,0.07,15,2,symmetry,2.8401647499995306,True,True,0,disjoint
Z2_reflection,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.957256522426198,3.172823054947377,0.425,0.4033333333333333,0.021666666666666667,15,2,symmetry,2.6880085830343887,True,True,0,disjoint
Z2_reflection,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.128924215167386,3.034390065300693,0.3466666666666667,0.4033333333333333,-0.05666666666666664,15,2,symmetry,3.304783666972071,True,True,0,disjoint
Z2_reflection,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.156618285973764,3.2092857007397146,0.42,0.36333333333333334,0.05666666666666664,15,2,symmetry,3.344056750065647,True,True,0,disjoint
Z2_reflection,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.075862373336743,3.129648198959642,0.3888888888888889,0.37,0.0188888888888889,15,2,symmetry,3.228911667014472,True,True,0,disjoint
C4,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.057252400314307,3.22031418573465,0.43333333333333335,0.39666666666666667,0.03666666666666668,7,4,symmetry,2.455788290943019,True,True,0,disjoint
C4,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.558668222681307,3.3159036103152135,0.5666666666666667,0.42,0.14666666666666667,7,4,symmetry,2.393647167016752,True,True,0,disjoint
C4,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9006694294619284,3.0494188127808157,0.5,0.45666666666666667,0.043333333333333335,7,4,symmetry,2.4470792500069365,True,True,0,disjoint
C4,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0386229649553096,3.1788813130873694,0.425,0.3566666666666667,0.0683333333333333,7,4,symmetry,2.5351044998969883,True,True,0,disjoint
C4,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.977631802501848,3.1076447521217294,0.475,0.47333333333333333,0.0016666666666666496,7,4,symmetry,2.621465750038624,True,True,0,disjoint
C4,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9458223033770756,3.1387342627706607,0.49166666666666664,0.43333333333333335,0.05833333333333329,7,4,symmetry,2.554856916074641,True,True,0,disjoint
C4,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0957499032221296,3.00484609362201,0.37777777777777777,0.44,-0.062222222222222234,7,4,symmetry,3.251205582986586,True,True,0,disjoint
C4,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0822855241217963,3.1307184124372776,0.4111111111111111,0.3333333333333333,0.07777777777777778,7,4,symmetry,3.177478416939266,True,True,0,disjoint
C4,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.059137773706897,3.1198374899305112,0.4022222222222222,0.36666666666666664,0.03555555555555556,7,4,symmetry,3.2815546659985557,True,True,0,disjoint
D2_V4,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9581036062317105,3.1629993230104976,0.3333333333333333,0.38666666666666666,-0.053333333333333344,9,4,symmetry,2.4186336669372395,True,True,0,disjoint
D2_V4,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.573021178957481,3.341760329946835,0.5333333333333333,0.39,0.1433333333333333,9,4,symmetry,2.4725007920060307,True,True,0,disjoint
D2_V4,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.8558269159068543,3.0403253917748607,0.5,0.4666666666666667,0.033333333333333326,9,4,symmetry,2.401222125045024,True,True,0,disjoint
D2_V4,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.037877927754613,3.1874013206165084,0.375,0.3433333333333333,0.031666666666666676,9,4,symmetry,2.6450127919670194,True,True,0,disjoint
D2_V4,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.005842663615604,3.166492916705182,0.5083333333333333,0.43666666666666665,0.07166666666666666,9,4,symmetry,2.6122401249594986,True,True,0,disjoint
D2_V4,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.939670106553364,3.1302311489375247,0.5083333333333333,0.42333333333333334,0.08499999999999996,9,4,symmetry,2.6652470419649035,True,True,0,disjoint
D2_V4,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.1450310713532343,3.0375998028200555,0.31333333333333335,0.33666666666666667,-0.023333333333333317,9,4,symmetry,3.269876875099726,True,True,0,disjoint
D2_V4,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.18168759277519,3.2229797812978003,0.41555555555555557,0.36,0.05555555555555558,9,4,symmetry,3.188997291959822,True,True,0,disjoint
D2_V4,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.061300354863102,3.117930446653111,0.3977777777777778,0.37333333333333335,0.024444444444444435,9,4,symmetry,3.2907547500217333,True,True,0,disjoint
D4,1,1,0,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9485949451340874,3.0894430444562535,0.43333333333333335,0.44666666666666666,-0.013333333333333308,6,8,symmetry,2.397122291964479,True,True,0,disjoint
D4,1,1,1,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.580015588524025,3.352381156837617,0.5,0.35333333333333333,0.14666666666666667,6,8,symmetry,2.45037004200276,True,True,0,disjoint
D4,1,1,2,30,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.915396224119905,3.051934217172344,0.5,0.4633333333333333,0.03666666666666668,6,8,symmetry,2.389614292071201,True,True,0,disjoint
D4,1,1,0,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9884896497824553,3.1176095618784028,0.4666666666666667,0.39,0.07666666666666666,6,8,symmetry,2.6290910840034485,True,True,0,disjoint
D4,1,1,1,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9922593828616604,3.1196223598881563,0.45,0.4666666666666667,-0.016666666666666663,6,8,symmetry,2.5715152089251205,True,True,0,disjoint
D4,1,1,2,120,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,2.9340128221462343,3.131434656408871,0.49166666666666664,0.43333333333333335,0.05833333333333329,6,8,symmetry,2.8005703339586034,True,True,0,disjoint
D4,1,1,0,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.0738147466428503,2.986394144943738,0.38,0.4266666666666667,-0.04666666666666669,6,8,symmetry,3.2813301669666544,True,True,0,disjoint
D4,1,1,1,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.1700740367352145,3.212940742196838,0.42444444444444446,0.37,0.05444444444444446,6,8,symmetry,3.2662200409686193,True,True,0,disjoint
D4,1,1,2,450,300,15,10,5,0.01,False,cpu,lightning.qubit,adjoint,0.1,True,3.057661531970566,3.1182154058864437,0.39111111111111113,0.36,0.031111111111111145,6,8,symmetry,3.249334290972911,True,True,0,disjoint
