subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,3,2,0,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.3511812340583584,2.4893053506933502,0.8666666666666667,0.49,0.3766666666666667,204,1,symmetry,72.43973258300684,True,True,0,disjoint
none,3,2,1,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.239904466112902,2.6552213763386114,1.0,0.4533333333333333,0.5466666666666666,204,1,symmetry,73.07364349998534,True,True,0,disjoint
none,3,2,0,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9719658067000883,2.478435135783446,0.7,0.48,0.21999999999999997,204,1,symmetry,70.68915116705466,True,True,0,disjoint
none,3,2,1,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9309413799056894,2.502033623288111,0.7,0.49666666666666665,0.2033333333333333,204,1,symmetry,68.19467945897486,True,True,0,disjoint
Z2_rot180,3,2,0,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.7392682513166784,2.511442746255449,0.8666666666666667,0.49166666666666664,0.37500000000000006,108,2,symmetry,66.52249012503307,True,True,0,disjoint
Z2_rot180,3,2,1,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.5569083589495554,2.788654374522636,0.8666666666666667,0.44666666666666666,0.42000000000000004,108,2,symmetry,64.26557862502523,True,True,0,disjoint
Z2_rot180,3,2,0,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.0946241466575137,2.383308994619036,0.6,0.515,0.08499999999999996,108,2,symmetry,64.99780295894016,True,True,0,disjoint
Z2_rot180,3,2,1,120,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9173054938010903,2.3632811923761663,0.6833333333333333,0.5266666666666666,0.15666666666666673,108,2,symmetry,65.04223537503276,True,True,0,disjoint
Z2_reflection,3,2,0,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.5604860691983815,2.4899429982718355,0.8666666666666667,0.5116666666666667,0.355,126,2,symmetry,62.94543154200073,True,True,0,disjoint
Z2_reflection,3,2,1,30,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.5451949550164565,2.661288564604197,0.9,0.4666666666666667,0.43333333333333335,126,2,symmetry,64.44758879207075,True,True,0,disjoint
