subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
D4,3,2,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.25973182328873,2.291552035992034,0.5933333333333334,0.5683333333333334,0.025000000000000022,54,8,symmetry,65.86754283297341,True,False,97,independent_fallback
D4,3,2,0,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3791375259364345,2.4195335875318373,0.5333333333333333,0.5166666666666667,0.016666666666666607,54,8,random,64.33758408401627,True,False,97,independent_fallback
D4,3,2,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2315529996938377,2.2439899118092685,0.58,0.5983333333333334,-0.018333333333333424,54,8,symmetry,64.84387204097584,True,False,92,independent_fallback
D4,3,2,1,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.383898061770853,2.434339874982721,0.5377777777777778,0.525,0.012777777777777777,54,8,random,65.9253053329885,True,False,92,independent_fallback
D4,3,2,2,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2605917538156906,2.242958091906609,0.5711111111111111,0.56,0.011111111111111072,54,8,symmetry,66.83169295801781,True,False,96,independent_fallback
D4,3,2,2,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4065665983746922,2.431911567384457,0.5511111111111111,0.515,0.036111111111111094,54,8,random,66.4943000000203,True,False,96,independent_fallback
D4,3,2,3,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3063520880820456,2.2980821090737966,0.5777777777777777,0.5616666666666666,0.016111111111111076,54,8,symmetry,67.51247929199599,True,False,103,independent_fallback
D4,3,2,3,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.330503806029019,2.341649531010339,0.5422222222222223,0.56,-0.01777777777777778,54,8,random,65.2517156250542,True,False,103,independent_fallback
D4,3,2,4,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.2430164151870544,2.2716085770435894,0.58,0.5633333333333334,0.016666666666666607,54,8,symmetry,65.07777395797893,True,False,91,independent_fallback
D4,3,2,4,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.400567881807843,2.4436052797067216,0.5577777777777778,0.5266666666666666,0.0311111111111112,54,8,random,65.38379699992947,True,False,91,independent_fallback
