subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices
none,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.932508321230781,2.147147206305844,0.7577777777777778,0.66,0.09777777777777774,204,1,symmetry,585.4728407500079,True,False,97,independent_fallback,0.0,0.0,0,none,()
none,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.973950510477299,2.184914645066943,0.7222222222222222,0.6216666666666667,0.10055555555555551,204,1,symmetry,583.607829250046,True,False,92,independent_fallback,0.0,0.0,0,none,()
none,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9424822389421026,2.192011268446307,0.7022222222222222,0.5833333333333334,0.11888888888888882,204,1,symmetry,582.8158142080065,True,False,96,independent_fallback,0.0,0.0,0,none,()
none,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9150617464473958,2.1084006828718818,0.6977777777777778,0.6233333333333333,0.07444444444444454,204,1,symmetry,582.8655125000514,True,False,103,independent_fallback,0.0,0.0,0,none,()
none,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9708165959348678,2.166514151530415,0.6577777777777778,0.58,0.07777777777777783,204,1,symmetry,582.7170034999726,True,False,91,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.928085318090804,2.0410318662378235,0.7288888888888889,0.695,0.03388888888888897,126,2,symmetry,564.8885245419806,True,False,97,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0230743789766907,2.098717282296229,0.6577777777777778,0.62,0.0377777777777778,126,2,symmetry,566.6064877080498,True,False,92,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9791396171956597,2.053931875378201,0.7355555555555555,0.6783333333333333,0.057222222222222174,126,2,symmetry,565.0228740409948,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9154024085167238,1.9856473592898767,0.7577777777777778,0.7266666666666667,0.03111111111111109,126,2,symmetry,565.1876655840315,True,False,103,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.892322801432608,2.074999707096023,0.7288888888888889,0.6683333333333333,0.060555555555555585,126,2,symmetry,565.2346480829874,True,False,91,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,0,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0928437409495833,2.2860100972283095,0.6666666666666666,0.5966666666666667,0.06999999999999995,126,2,random,565.3723665000871,True,False,97,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,1,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0909937583341462,2.2439334670760682,0.6666666666666666,0.58,0.08666666666666667,126,2,random,565.4566600000253,True,False,92,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,2,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.1109367634547995,2.231719395291558,0.6511111111111111,0.5833333333333334,0.06777777777777771,126,2,random,565.6280683749355,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,3,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.068193830490755,2.190583511145292,0.6577777777777778,0.6266666666666667,0.03111111111111109,126,2,random,565.3977668749867,True,False,103,independent_fallback,0.0,0.0,0,none,()
Z2_reflection,3,2,4,450,600,15,100,30,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.051524287635656,2.213139167884048,0.6377777777777778,0.59,0.04777777777777781,126,2,random,565.6949361249572,True,False,91,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9615558529803538,2.0704469088186843,0.7333333333333333,0.7016666666666667,0.03166666666666662,108,2,symmetry,563.3970170839457,True,False,97,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9243007931364127,2.0048164724453827,0.7222222222222222,0.69,0.03222222222222226,108,2,symmetry,562.6012517500203,True,False,92,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.047085449903859,2.0831539423962964,0.7177777777777777,0.6716666666666666,0.0461111111111111,108,2,symmetry,562.6451737500029,True,False,96,independent_fallback,0.0,0.0,0,none,()
Z2_rot180,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.03042409635957,2.094200556922076,0.6888888888888889,0.67,0.018888888888888844,108,2,symmetry,562.3382332500769,True,False,103,independent_fallback,0.0,0.0,0,none,()
