subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4084088316919714,2.449455922139263,0.5244444444444445,0.5183333333333333,0.006111111111111178,68,1,symmetry,30.448160041938536,True,False,97,independent_fallback
none,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.365769713994628,2.42699265037301,0.5866666666666667,0.5316666666666666,0.05500000000000005,68,1,symmetry,31.267744875047356,True,False,92,independent_fallback
Z2_reflection,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4049232928712017,2.4493216035539844,0.5333333333333333,0.5366666666666666,-0.0033333333333332993,42,2,symmetry,29.78772212495096,True,False,97,independent_fallback
Z2_reflection,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3746723096921416,2.398033679596818,0.5822222222222222,0.58,0.0022222222222222365,42,2,symmetry,29.594254957977682,True,False,92,independent_fallback
Z2_reflection,2,1,0,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.497724385016954,2.510546213328844,0.48444444444444446,0.4716666666666667,0.012777777777777777,42,2,random,29.44545116694644,True,False,97,independent_fallback
Z2_reflection,2,1,1,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4079133229114613,2.4582997806758575,0.5577777777777778,0.5383333333333333,0.019444444444444486,42,2,random,28.894835332990624,True,False,92,independent_fallback
Z2_rot180,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3937120937869762,2.443556641176274,0.5266666666666666,0.515,0.011666666666666603,36,2,symmetry,32.1664796670666,True,False,97,independent_fallback
Z2_rot180,2,1,1,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.3990945529194123,2.4219797991653924,0.5733333333333334,0.5583333333333333,0.015000000000000013,36,2,symmetry,28.454615666996688,True,False,92,independent_fallback
Z2_rot180,2,1,0,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.438370632134504,2.4833607393084027,0.5288888888888889,0.5,0.028888888888888853,36,2,random,30.519735125009902,True,False,97,independent_fallback
Z2_rot180,2,1,1,450,600,15,30,10,0.01,True,cpu,lightning.qubit,adjoint,paper,0.1,True,2.4192191369109475,2.4868171860958768,0.5644444444444444,0.5216666666666666,0.0427777777777778,36,2,random,29.48003758408595,True,False,92,independent_fallback
C4,2,1,0,450,600,15,30,10,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.367492786999469,2.4324893447731015,0.5511111111111111,0.535,0.016111111111111076,20,4,symmetry,28.52847512497101,True,False,97,independent_fallback
