subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode
none,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.932508321230781,2.147147206305844,0.7577777777777778,0.66,0.09777777777777774,204,1,symmetry,586.5854970000219,True,False,97,independent_fallback
none,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.973950510477299,2.184914645066943,0.7222222222222222,0.6216666666666667,0.10055555555555551,204,1,symmetry,579.7291643749923,True,False,92,independent_fallback
none,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9424822389421026,2.192011268446307,0.7022222222222222,0.5833333333333334,0.11888888888888882,204,1,symmetry,567.6610884589609,True,False,96,independent_fallback
none,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9150617464473958,2.1084006828718818,0.6977777777777778,0.6233333333333333,0.07444444444444454,204,1,symmetry,552.8268727910472,True,False,103,independent_fallback
none,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9708165959348678,2.166514151530415,0.6577777777777778,0.58,0.07777777777777783,204,1,symmetry,564.2239255420864,True,False,91,independent_fallback
D4,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.891160020204361,1.9375290430588095,0.7533333333333333,0.7233333333333334,0.029999999999999916,54,8,symmetry,541.1668212499935,True,False,97,independent_fallback
D4,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.0006226209682874,2.009821955219577,0.7022222222222222,0.7033333333333334,-0.0011111111111111738,54,8,symmetry,541.5083476660075,True,False,92,independent_fallback
D4,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,2.0099442685408926,2.016693070000612,0.6977777777777778,0.655,0.0427777777777778,54,8,symmetry,544.8062814170262,True,False,96,independent_fallback
D4,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.943998712056897,1.9815636989466823,0.6622222222222223,0.635,0.02722222222222226,54,8,symmetry,516.7611899580806,True,False,103,independent_fallback
D4,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,1.9131541097714553,1.9806935736326234,0.7422222222222222,0.725,0.01722222222222225,54,8,symmetry,517.2527867919998,True,False,91,independent_fallback
