circuit_family,subgroup,train_size,n,train_accuracy,test_accuracy,generalization_gap,num_parameters
edge,C4,30,3,0.8444444444444444,0.5427777777777778,0.3016666666666667,60.0
line_zzz,C4,30,3,0.7888888888888889,0.5177777777777778,0.27111111111111114,54.0
edge,D2_V4,30,3,0.8555555555555556,0.5288888888888889,0.3266666666666667,78.0
line_zzz,D2_V4,30,3,0.8444444444444444,0.5005555555555555,0.3438888888888889,78.0
edge,D4,30,3,0.8222222222222223,0.5333333333333333,0.2888888888888889,54.0
line_zzz,D4,30,3,0.7888888888888889,0.5177777777777778,0.27111111111111114,54.0
edge,Z2_reflection,30,3,0.9777777777777779,0.48500000000000004,0.4927777777777778,126.0
line_zzz,Z2_reflection,30,3,0.9333333333333332,0.4688888888888889,0.46444444444444444,108.0
edge,Z2_rot180,30,3,0.9222222222222222,0.47833333333333333,0.44388888888888894,108.0
line_zzz,Z2_rot180,30,3,0.9,0.45222222222222225,0.4477777777777778,96.0
edge,none,30,3,0.9777777777777779,0.44388888888888883,0.5338888888888889,204.0
line_zzz,none,30,3,0.9333333333333332,0.48,0.45333333333333337,156.0
edge,C4,120,3,0.7444444444444445,0.6277777777777778,0.11666666666666665,60.0
line_zzz,C4,120,3,0.6805555555555557,0.5955555555555555,0.08500000000000003,54.0
edge,D2_V4,120,3,0.7472222222222222,0.5711111111111111,0.1761111111111111,78.0
line_zzz,D2_V4,120,3,0.7305555555555555,0.58,0.15055555555555555,78.0
edge,D4,120,3,0.7055555555555556,0.6027777777777779,0.10277777777777775,54.0
line_zzz,D4,120,3,0.6805555555555557,0.5955555555555555,0.08500000000000003,54.0
edge,Z2_reflection,120,3,0.7944444444444444,0.5505555555555556,0.24388888888888885,126.0
line_zzz,Z2_reflection,120,3,0.7194444444444444,0.5466666666666667,0.17277777777777778,108.0
edge,Z2_rot180,120,3,0.7611111111111111,0.5655555555555556,0.19555555555555557,108.0
line_zzz,Z2_rot180,120,3,0.7444444444444445,0.5877777777777778,0.15666666666666665,96.0
edge,none,120,3,0.8416666666666667,0.5144444444444444,0.32722222222222225,204.0
line_zzz,none,120,3,0.8055555555555555,0.5266666666666667,0.27888888888888885,156.0
edge,C4,450,3,0.6414814814814814,0.6261111111111112,0.015370370370370368,60.0
line_zzz,C4,450,3,0.6948148148148148,0.6749999999999999,0.019814814814814802,54.0
edge,D2_V4,450,3,0.6311111111111111,0.6066666666666667,0.024444444444444418,78.0
line_zzz,D2_V4,450,3,0.6918518518518519,0.6549999999999999,0.03685185185185188,78.0
edge,D4,450,3,0.6822222222222223,0.668888888888889,0.013333333333333308,54.0
line_zzz,D4,450,3,0.6948148148148148,0.6749999999999999,0.019814814814814802,54.0
edge,Z2_reflection,450,3,0.662962962962963,0.6216666666666667,0.041296296296296275,126.0
line_zzz,Z2_reflection,450,3,0.6637037037037037,0.6144444444444445,0.04925925925925926,108.0
edge,Z2_rot180,450,3,0.6696296296296297,0.6522222222222221,0.01740740740740739,108.0
line_zzz,Z2_rot180,450,3,0.7081481481481481,0.648888888888889,0.059259259259259234,96.0
edge,none,450,3,0.677037037037037,0.59,0.08703703703703707,204.0
line_zzz,none,450,3,0.6896296296296297,0.6094444444444445,0.08018518518518518,156.0
