circuit_family,subgroup,train_size,n,train_accuracy,test_accuracy,generalization_gap,num_parameters
edge,C4,450,5,0.6968888888888889,0.689,0.0078888888888889,60.0
edge_line_ccrz,C4,450,5,0.7684444444444445,0.736,0.032444444444444456,78.0
edge_line_zzz,C4,450,5,0.796888888888889,0.7723333333333333,0.024555555555555553,78.0
edge_line_zzz_ccrz,C4,450,5,0.7702222222222221,0.746,0.02422222222222221,96.0
line_ccrz,C4,450,5,0.7235555555555556,0.7033333333333334,0.0202222222222222,54.0
line_pair_crz,C4,450,5,0.687111111111111,0.678,0.009111111111111092,54.0
line_zzz,C4,450,5,0.723111111111111,0.697,0.026111111111111078,54.0
line_zzz_ccrz,C4,450,5,0.7817777777777778,0.7496666666666667,0.032111111111111104,72.0
edge,D4,450,5,0.7115555555555556,0.6883333333333334,0.0232222222222222,54.0
edge_line_ccrz,D4,450,5,0.7706666666666667,0.7386666666666667,0.03199999999999999,72.0
edge_line_zzz,D4,450,5,0.7595555555555555,0.7196666666666667,0.03988888888888888,72.0
edge_line_zzz_ccrz,D4,450,5,0.8146666666666667,0.7953333333333333,0.01933333333333336,90.0
line_ccrz,D4,450,5,0.7235555555555556,0.7033333333333334,0.0202222222222222,54.0
line_pair_crz,D4,450,5,0.687111111111111,0.678,0.009111111111111092,54.0
line_zzz,D4,450,5,0.723111111111111,0.697,0.026111111111111078,54.0
line_zzz_ccrz,D4,450,5,0.7817777777777778,0.7496666666666667,0.032111111111111104,72.0
edge,C4,600,5,0.6943333333333334,0.6776666666666668,0.016666666666666642,60.0
edge_line_ccrz,C4,600,5,0.751,0.735,0.015999999999999993,78.0
edge_line_zzz,C4,600,5,0.7633333333333333,0.761,0.0023333333333333205,78.0
edge_line_zzz_ccrz,C4,600,5,0.8053333333333332,0.778,0.02733333333333334,96.0
line_ccrz,C4,600,5,0.7286666666666667,0.7196666666666667,0.009,54.0
line_pair_crz,C4,600,5,0.6799999999999999,0.6683333333333333,0.011666666666666648,54.0
line_zzz,C4,600,5,0.7083333333333334,0.7003333333333334,0.008,54.0
line_zzz_ccrz,C4,600,5,0.761,0.7486666666666666,0.01233333333333332,72.0
edge,D4,600,5,0.705,0.6993333333333334,0.0056666666666667,54.0
edge_line_ccrz,D4,600,5,0.7673333333333334,0.75,0.017333333333333333,72.0
edge_line_zzz,D4,600,5,0.7853333333333333,0.7643333333333333,0.020999999999999998,72.0
edge_line_zzz_ccrz,D4,600,5,0.8156666666666667,0.805,0.010666666666666668,90.0
line_ccrz,D4,600,5,0.7286666666666667,0.7196666666666667,0.009,54.0
line_pair_crz,D4,600,5,0.6799999999999999,0.6683333333333333,0.011666666666666648,54.0
line_zzz,D4,600,5,0.7083333333333334,0.7003333333333334,0.008,54.0
line_zzz_ccrz,D4,600,5,0.761,0.7486666666666666,0.01233333333333332,72.0
edge,C4,750,5,0.7157333333333333,0.6983333333333334,0.01740000000000002,60.0
edge_line_ccrz,C4,750,5,0.7549333333333333,0.7369999999999999,0.017933333333333357,78.0
edge_line_zzz,C4,750,5,0.7685333333333333,0.742,0.026533333333333343,78.0
edge_line_zzz_ccrz,C4,750,5,0.8112,0.787,0.02420000000000002,96.0
line_ccrz,C4,750,5,0.7194666666666667,0.7016666666666667,0.017799999999999983,54.0
line_pair_crz,C4,750,5,0.6949333333333334,0.6806666666666666,0.01426666666666665,54.0
line_zzz,C4,750,5,0.6973333333333334,0.6876666666666666,0.00966666666666666,54.0
line_zzz_ccrz,C4,750,5,0.7773333333333333,0.748,0.029333333333333277,72.0
edge,D4,750,5,0.7,0.6913333333333334,0.00866666666666666,54.0
edge_line_ccrz,D4,750,5,0.7661333333333333,0.7466666666666667,0.019466666666666653,72.0
edge_line_zzz,D4,750,5,0.7650666666666667,0.7333333333333333,0.03173333333333337,72.0
edge_line_zzz_ccrz,D4,750,5,0.7997333333333334,0.7736666666666666,0.02606666666666666,90.0
line_ccrz,D4,750,5,0.7194666666666667,0.7016666666666667,0.017799999999999983,54.0
line_pair_crz,D4,750,5,0.6949333333333334,0.6806666666666666,0.01426666666666665,54.0
line_zzz,D4,750,5,0.6973333333333334,0.6876666666666666,0.00966666666666666,54.0
line_zzz_ccrz,D4,750,5,0.7773333333333333,0.748,0.029333333333333277,72.0
