circuit_family,subgroup,train_size,random_sharing,n,test_accuracy,train_accuracy,generalization_gap,num_parameters,source
edge,C4,30,False,10,0.5518333333333334,0.8766666666666666,0.32483333333333336,60.0,results_paper_consistent_edge_L3p2.csv
edge,C4,60,False,10,0.5748333333333333,0.8183333333333334,0.2435,60.0,results_paper_consistent_edge_L3p2.csv
edge,C4,120,False,10,0.6353333333333333,0.7575000000000001,0.12216666666666667,60.0,results_paper_consistent_edge_L3p2.csv
edge,C4,240,False,10,0.645,0.7304166666666667,0.08541666666666661,60.0,results_paper_consistent_edge_L3p2.csv
edge,C4,450,False,10,0.6858333333333333,0.7062222222222222,0.02038888888888888,60.0,results_paper_consistent_edge_L3p2.csv
edge,C4,600,False,10,0.6953333333333334,0.7103333333333334,0.01499999999999998,60.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,30,False,10,0.5241666666666667,0.9099999999999999,0.38583333333333336,78.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,60,False,10,0.568,0.845,0.27699999999999997,78.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,120,False,10,0.5906666666666667,0.7775000000000001,0.18683333333333332,78.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,240,False,10,0.6283333333333333,0.7341666666666666,0.10583333333333331,78.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,450,False,10,0.6751666666666667,0.7133333333333333,0.03816666666666661,78.0,results_paper_consistent_edge_L3p2.csv
edge,D2_V4,600,False,10,0.6778333333333333,0.7003333333333334,0.02249999999999998,78.0,results_paper_consistent_edge_L3p2.csv
edge,D4,30,False,10,0.5321666666666667,0.85,0.3178333333333333,54.0,results_paper_consistent_edge_L3p2.csv
edge,D4,60,False,10,0.5888333333333333,0.7983333333333333,0.20950000000000002,54.0,results_paper_consistent_edge_L3p2.csv
edge,D4,120,False,10,0.6421666666666667,0.7441666666666666,0.10199999999999995,54.0,results_paper_consistent_edge_L3p2.csv
edge,D4,240,False,10,0.6573333333333333,0.7233333333333334,0.06599999999999995,54.0,results_paper_consistent_edge_L3p2.csv
edge,D4,450,False,10,0.6863333333333334,0.7206666666666667,0.034333333333333285,54.0,results_paper_consistent_edge_L3p2.csv
edge,D4,600,False,10,0.6871666666666666,0.7078333333333333,0.02066666666666666,54.0,results_paper_consistent_edge_L3p2.csv
edge,Z2_reflection,30,False,10,0.4725,0.9766666666666668,0.5041666666666667,126.0,results_paper_consistent_edge_L3p2.csv
edge,Z2_reflection,60,False,10,0.5163333333333333,0.8916666666666666,0.3753333333333333,126.0,results_paper_consistent_edge_L3p2.csv
edge,Z2_reflection,120,False,10,0.5591666666666667,0.8150000000000001,0.2558333333333333,126.0,results_paper_consistent_edge_L3p2.csv
edge,Z2_reflection,240,False,10,0.595,0.7454166666666666,0.15041666666666662,126.0,results_paper_consistent_edge_L3p2.csv
edge,Z2_reflection,450,False,10,0.654,0.7077777777777777,0.05377777777777772,126.0,results_paper_consistent_edge_L3p2.csv
